축제명,간단한 소개,내용글,상세내용,포스터 이미지,이미지1,이미지2,이미지3,시작일,종료일,주소,운영기관,연락처
제주푸드앤와인페스티벌,"10주년 스페셜, 5월 제주의 테이블로 초대합니다","제주도 대표 미식 축제인 ‘제주푸드앤와인페스티벌(Jeju Food & Wine Festival, JFWF)’은 제주의 청정 식재료와 셰프의 창의성을 기반으로 한 다양한 미식 콘텐츠를 통해, 제주의 자연이 선사하는 농수산물의 가치와 미식 문화를 국내외에 알리는 문화 행사이다. 올해 10주년을 맞아 제주 전역에서 5월 8일부터 17일까지 열흘간 진행되며, <흑백요리사> 셰프와 제주 셰프의 협업 디너 ‘고메디너’, 마스터셰프클래스, 와인 테이스팅, 디저트페어, 심포지엄 등 풍성한 프로그램이 운영된다. 수익금 일부는 미래 셰프 인재 양성을 위한 장학금으로도 기부된다.
[행사내용]
메인프로그램
1. 고메스푼200 & 고메위크 (5.8~17)
JFWF 셀렉션 위원단이 선정한 제주 맛집 200곳
: 특정 매장에서 JFWF 특별 혜택(스페셜 메뉴, 할인 등) 제공

2. 무비푸비 (5.8~17/제주신화월드)
영화와 관련 음식, 와인을 함께 즐길 수 있는 감성적인 복합 미식 콘텐츠
: 《프렌치 수프》, 《고독한 미식가 더 무비》, 《리틀포레스트》, 《신의 술방울》 상영

3. 디저트페어 (5.9~10/제주한라대)
제주 로컬 디저트·커피 브랜드 20여 곳이 참여하는 달콤한 미식 마켓
: 페이스트리, 떡, 초콜릿, 아이스크림, 커피, 주류 등 다양한 구성

4. 미식 심포지움 – JFWF NEXT (5.12/제주한라대)
지속가능한 식문화와 미식 산업의 미래를 논하는 전문가 포럼
: 지속가능성, 푸드트렌드, 로컬 가치, 미식 콘텐츠 등 4개 세션으로 구성

5. 마스터셰프 클래스 & 와인 테이스팅 (5.15/제주신화월드)
흑백요리사 4인의 라이브 쿠킹과 토크가 펼쳐지는 클래스
프리미엄 와인 및 전통주 80종을 자유롭게 시음하는 테이스팅 행사

6. 제주 고메디너 (5.16/제주신화월드)
넷플릭스 <흑백요리사> 셰프 4인과 제주 셰프 4인의 협업 디너.
: 제주의 식재료로 만든 8가지 창작 스몰 플레이트를 자유롭게 즐기는 프리미엄 뷔페 스타일.","[행사내용]
메인프로그램
1. 고메스푼200 & 고메위크 (5.8~17)
JFWF 셀렉션 위원단이 선정한 제주 맛집 200곳
: 특정 매장에서 JFWF 특별 혜택(스페셜 메뉴, 할인 등) 제공

2. 무비푸비 (5.8~17/제주신화월드)
영화와 관련 음식, 와인을 함께 즐길 수 있는 감성적인 복합 미식 콘텐츠
: 《프렌치 수프》, 《고독한 미식가 더 무비》, 《리틀포레스트》, 《신의 술방울》 상영

3. 디저트페어 (5.9~10/제주한라대)
제주 로컬 디저트·커피 브랜드 20여 곳이 참여하는 달콤한 미식 마켓
: 페이스트리, 떡, 초콜릿, 아이스크림, 커피, 주류 등 다양한 구성

4. 미식 심포지움 – JFWF NEXT (5.12/제주한라대)
지속가능한 식문화와 미식 산업의 미래를 논하는 전문가 포럼
: 지속가능성, 푸드트렌드, 로컬 가치, 미식 콘텐츠 등 4개 세션으로 구성

5. 마스터셰프 클래스 & 와인 테이스팅 (5.15/제주신화월드)
흑백요리사 4인의 라이브 쿠킹과 토크가 펼쳐지는 클래스
프리미엄 와인 및 전통주 80종을 자유롭게 시음하는 테이스팅 행사

6. 제주 고메디너 (5.16/제주신화월드)
넷플릭스 <흑백요리사> 셰프 4인과 제주 셰프 4인의 협업 디너.
: 제주의 식재료로 만든 8가지 창작 스몰 플레이트를 자유롭게 즐기는 프리미엄 뷔페 스타일.",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_d172b769-e513-407f-be28-eb9333327420_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_d172b769-e513-407f-be28-eb9333327420_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_d172b769-e513-407f-be28-eb9333327420_5.jpg,2025-05-10,2025-06-15,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"제주푸드앤와인페스티벌 조직위원회/(사)코리아푸드앤와인페스티벌, 제주한라대학교",02-3467-0303
빛 축제 영원,`빛의 랑데부`,"김해 최대 일루미네이션 & 미디어아트 축제다. `빛의 랑데부`를 주제로 다양한 콘텐츠들이 김해가야테마파크에서 펼쳐진다. 빛을 직접 만지고 체험할 수 있으며 8일 화려한 개막식에 이어 17일에는 불꽃쇼와 캔들 콘서트로 축제의 화려함을 더한다. 광화문, DDP에서 조각작품을 선보인 김영원 작가의 작품세계를 일루미네이션과 결합시켜 화려한 볼거리를 선사한다. 행사기간 동안 무료로 진행되며 야간 익스트림 체험, 도자 체험 등 유료 즐길거리도 함께 운영된다.
[행사내용]
1. 빛 축제 콘텐츠: 빛의탑, 북소리 빛나무, 허왕후 연꽃길, 김영원 조각전, 홀로그램 정원 등
2. 점등식: 5월 8일 오후 7시 트론쇼, 홀로그램 미디어 퍼포먼스 등
3. 더 캔들인 김해 & 불꽃쇼 : 5월 17일 오후 7시, LED캔들 6,000개와 왕궁, 음악회, 불꽃쇼가 어우러지는 시민무료 콘서트
4. 가꿈 아트마켓 : 5월 17일, 김해지역 특산품을 함께 만나볼 수 있는 아트마켓.

*월요일 휴무","[행사내용]
1. 빛 축제 콘텐츠: 빛의탑, 북소리 빛나무, 허왕후 연꽃길, 김영원 조각전, 홀로그램 정원 등
2. 점등식: 5월 8일 오후 7시 트론쇼, 홀로그램 미디어 퍼포먼스 등
3. 더 캔들인 김해 & 불꽃쇼 : 5월 17일 오후 7시, LED캔들 6,000개와 왕궁, 음악회, 불꽃쇼가 어우러지는 시민무료 콘서트
4. 가꿈 아트마켓 : 5월 17일, 김해지역 특산품을 함께 만나볼 수 있는 아트마켓.

*월요일 휴무",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/b31a2fdc-e67d-455f-be39-4c2c40464347_3.png,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_b31a2fdc-e67d-455f-be39-4c2c40464347_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_b31a2fdc-e67d-455f-be39-4c2c40464347_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_b31a2fdc-e67d-455f-be39-4c2c40464347_6.jpg,2025-05-08,2025-05-18,경상남도 김해시 가야테마길 161 (어방동),김해문화관광재단,055-340-7900~01
공주 페스티벌,공주 제민천에 공주(Princess)들이 떴다!,"공주 페스티벌은 공주시에서 펼쳐지는 공주(Princess) 컨셉의 야간관광 콘텐츠이다. 제민천 감영길 일대에서 펼쳐지는 공주(Princess)컨셉의 야간 퍼레이드, 야간 플리마켓, 공주들의 이벤트는 계절별 다른 컨셉으로 제민천을 찾아온다. 봄, 여름, 가을, 겨울 사계절을 주제로 펼쳐질 공주들의 페스티벌은 제민천 감영길 일대를 색다르게 물들일 예정이다.
[행사내용]
<개최 일정>
2025. 5. 3 ~ 2025. 12. 6
: 5/3, 7/5, 10/4, 12/6

1. 메인프로그램 : 공주(Princess) 컨셉의 야간 퍼레이드
2. 부대프로그램 : 플리마켓, 공주 컨셉의 이벤트
3. 소비자 참여 프로그램 : 프린세스 메이커 패키지, 각종 이벤트","[행사내용]
<개최 일정>
2025. 5. 3 ~ 2025. 12. 6
: 5/3, 7/5, 10/4, 12/6

1. 메인프로그램 : 공주(Princess) 컨셉의 야간 퍼레이드
2. 부대프로그램 : 플리마켓, 공주 컨셉의 이벤트
3. 소비자 참여 프로그램 : 프린세스 메이커 패키지, 각종 이벤트",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/5cb8e065-1618-4576-b91c-a0739772650f_3.png,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_5cb8e065-1618-4576-b91c-a0739772650f_4.jpg,,,2025-05-03,2025-12-06,충청남도 공주시 봉황로 75 (반죽동) 제민천 감영길 일대,"문화체육관광부, 한국관광공사, 공주시/(재)공주문화관광재단",041-852-8066
남이섬세계책나라축제,남이섬에서 만나는 동화 같은 특별한 축제,"남이섬은 연간 300만 명이 방문하는 한국의 대표적인 관광지로, 아름다운 자연과 문화예술이 조화를 이루는 장소이다. 아름다운 남이섬에서 책을 중심으로 전시, 공연, 조성, 워크숍이 어우러지는 남이섬세계책나라축제가 개최된다. 이 축제는 가족, 친구들과 함께 즐길 수 있는 문화 교류의 장이며, 방문객들에게 동화 같은 특별한 경험을 제공할 것이다. 2005년 시작해 올해로 12회째를 맞이하는 남이섬세계책나라축제는 지난 9회째부터 주빈국 테마를 적용하여, 2019년 덴마크, 2021년 포르투갈, 2023년 핀란드를 각각 주빈국으로 삼았으며, 2025년 축제의 주빈국은 인도이다.
[행사내용]
○ 공연 : 인도문화공연, 한국-인도 콜라보레이션 공연 등
○ 전시 : 인도 신화 및 라마야나 관련 전시 등
○ 체험 : 웰니스 프로그램, 인도 문화 체험 등","[행사내용]
○ 공연 : 인도문화공연, 한국-인도 콜라보레이션 공연 등
○ 전시 : 인도 신화 및 라마야나 관련 전시 등
○ 체험 : 웰니스 프로그램, 인도 문화 체험 등",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/1d5ad506-cea7-458f-b582-9baf48683356_3.png,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_1d5ad506-cea7-458f-b582-9baf48683356_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_1d5ad506-cea7-458f-b582-9baf48683356_5.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_1d5ad506-cea7-458f-b582-9baf48683356_6.jpg,2025-05-03,2025-05-18,강원특별자치도 춘천시 남산면 남이섬길 1,세계책나라축제위원회/남이섬교육문화그룹,031-580-8015
몽생이 5월 대모험,렛츠런파크 제주에서 가족과 함께 즐기는 5월 몽생이 대모험,"5월 가정의 달을 맞아 렛츠런파크제주에서 '몽생이 5월 대모험' 축제가 개최된다. 이 축제는 온 가족이 함께 즐길 수 있도록 다양한 프로그램과 체험, 공연, 먹거리 등을 제공한다. 어린이부터 어른까지 모든 연령층이 참여할 수 있는 행사로 구성되어 있다. 축제 기간 동안 가족 단위 방문객을 위한 다채로운 이벤트와 놀이가 마련되어 있다. 몽생이와 함께하는 모험 체험도 포함되어 있어 즐거움과 흥미를 더한다. 이 축제는 가족 간의 유대감을 강화하고 소중한 추억을 만드는 데 목적이 있으며, 렛츠런파크제주에서 진행되는 이 행사는 5월 한 달 동안 운영된다.
[행사내용]
1. 메인프로그램
- 몽생이 대탈출 작전!
납치당한 몽생이 구출작전!
직접 탐험을하며 문제를 해결하고 모든 문제를 해결하면 몽생이를 구출할 수 있어요!

- 온 가족이 함께, 렛츠~ 퀴즈타임!
온 가족이 참여 할 수 있는 모바일 참여 OX 퀴즈

- 몽생이 사생대회!
작품주제 : 아름다운 제주의 자연, 자연보호

- 말마와 함께하는 렛츠~ 댄스타임!
댄스강사님과 함께 배워보는 K-POP 댄스!
특별한 상품도 있어요 !

- 우리가족 건강지킴이, 가족요가
남녀노소 따라하기 쉬운 요가 클래스 진행 / 키즈요가, 싱잉볼 체험 등

2. 부대프로그램
- 무대 프로그램
1주차 : 인형극 탄소중립 ""지구가아파요""
2주차 : 매직비눗방울&불쇼 ""버블스위퍼""
3주차 : 어린이 뮤지컬 팝페라 듀오 ""아인스""
4주차 : 마술쇼

- 부스 프로그램
슬라임&레고
가훈 만들기
풍선아트
슈링클스
느린편지
전통놀이체험
재활용 화문 만들기
친환경 비누방울 만들기
친환경 에코백 만들기

3. 소비자 참여 프로그램
- 플리마켓 / 미니 플리마켓
행사 중 모든 요일 13:00~17:00 운영

4. 기타 내용
- F&B 프로그램
맛있는 푸드트럭들이 초대되었어요!
고인돌고기/핫도그/회오리감자/수제흑돼지강정/카페/빙수/소떡소떡/젤라또 등","[행사내용]
1. 메인프로그램
- 몽생이 대탈출 작전!
납치당한 몽생이 구출작전!
직접 탐험을하며 문제를 해결하고 모든 문제를 해결하면 몽생이를 구출할 수 있어요!

- 온 가족이 함께, 렛츠~ 퀴즈타임!
온 가족이 참여 할 수 있는 모바일 참여 OX 퀴즈

- 몽생이 사생대회!
작품주제 : 아름다운 제주의 자연, 자연보호

- 말마와 함께하는 렛츠~ 댄스타임!
댄스강사님과 함께 배워보는 K-POP 댄스!
특별한 상품도 있어요 !

- 우리가족 건강지킴이, 가족요가
남녀노소 따라하기 쉬운 요가 클래스 진행 / 키즈요가, 싱잉볼 체험 등

2. 부대프로그램
- 무대 프로그램
1주차 : 인형극 탄소중립 ""지구가아파요""
2주차 : 매직비눗방울&불쇼 ""버블스위퍼""
3주차 : 어린이 뮤지컬 팝페라 듀오 ""아인스""
4주차 : 마술쇼

- 부스 프로그램
슬라임&레고
가훈 만들기
풍선아트
슈링클스
느린편지
전통놀이체험
재활용 화문 만들기
친환경 비누방울 만들기
친환경 에코백 만들기

3. 소비자 참여 프로그램
- 플리마켓 / 미니 플리마켓
행사 중 모든 요일 13:00~17:00 운영

4. 기타 내용
- F&B 프로그램
맛있는 푸드트럭들이 초대되었어요!
고인돌고기/핫도그/회오리감자/수제흑돼지강정/카페/빙수/소떡소떡/젤라또 등",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/0f1298b9-eecc-4532-9ed3-9773dbf4bd99_3.jpg,,,,2025-05-03,2025-05-25,제주특별자치도 제주시 애월읍 평화로 2144 렛츠런파크 제주,한국마사회,010-7620-3306
서천 자연산 광어 도미 축제,자연산 광어와 도미를 맛보고 즐길 수 있는 신명나는 축제,"서천에 잡은 싱싱한 자연산 광어와 도미를 맛있게 즐길 수 있는 축제이다. 팔딱팔딱 싱싱한 광어를 직접 잡아보는 체험도 진행된다. 자연산 광어 도미 축제는 마량진항에서 진행된다.
[행사내용]
1. 광어 맨손잡기 체험(회당 80명씩)
- 운영시간: 11시 13시 14시 15시(휴일) / 5. 3. 개막식 11시에는 체험 없음
＊사전접수: 11시 15시(인터넷 접수)
* 현장접수: 13시 14시(현장접수 시간 10시)
- 체험료: 17,000원(얼음포장비 별도)
- 접수장소: 현장접수(행사 운영 본부), 사전접수(인터넷 접수)
- 기타사항: 여벌의 옷, 수건 준비, 1인당 2마리 제한
- 초등학생 이하 체험 후 중학생 이상 체험

2. 광어 낚시 체험
- 운영시간: 10시 30분, 14시 30분(휴일)
- 접수장소: 행사 운영 본부(현장 접수)
- 체험료: 17,000원(얼음포장비 별도)
- 기타사항: 1인당 2마리 제한

3. 선상낚시 체험
- 운영시간: 11시 30분, 13시 30분(휴일)
- 체 험 료: 15,000원
- 접수장소: 행사 운영 본부(현장 접수)
- 기상악화 및 천재지변 시 체험 취소

4. 광어 보물찾기
- 장소: 한국최초성경전래지 기념공원 내
- 대상: 모든 관광객(1가족당 1개 증정)
- 운영시간: 오전 오후 각 20개(연휴)
- 내용: 보물을 찾은 분들에게 행사 할인권 제공","[행사내용]
1. 광어 맨손잡기 체험(회당 80명씩)
- 운영시간: 11시 13시 14시 15시(휴일) / 5. 3. 개막식 11시에는 체험 없음
＊사전접수: 11시 15시(인터넷 접수)
* 현장접수: 13시 14시(현장접수 시간 10시)
- 체험료: 17,000원(얼음포장비 별도)
- 접수장소: 현장접수(행사 운영 본부), 사전접수(인터넷 접수)
- 기타사항: 여벌의 옷, 수건 준비, 1인당 2마리 제한
- 초등학생 이하 체험 후 중학생 이상 체험

2. 광어 낚시 체험
- 운영시간: 10시 30분, 14시 30분(휴일)
- 접수장소: 행사 운영 본부(현장 접수)
- 체험료: 17,000원(얼음포장비 별도)
- 기타사항: 1인당 2마리 제한

3. 선상낚시 체험
- 운영시간: 11시 30분, 13시 30분(휴일)
- 체 험 료: 15,000원
- 접수장소: 행사 운영 본부(현장 접수)
- 기상악화 및 천재지변 시 체험 취소

4. 광어 보물찾기
- 장소: 한국최초성경전래지 기념공원 내
- 대상: 모든 관광객(1가족당 1개 증정)
- 운영시간: 오전 오후 각 20개(연휴)
- 내용: 보물을 찾은 분들에게 행사 할인권 제공",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/ade61ca7-22c1-41cf-8a18-f5a3c55bcf1a_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ade61ca7-22c1-41cf-8a18-f5a3c55bcf1a_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ade61ca7-22c1-41cf-8a18-f5a3c55bcf1a_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_ade61ca7-22c1-41cf-8a18-f5a3c55bcf1a_6.jpg,2025-05-03,2025-05-18,충청남도 서천군 서면 서인로 58 마량진항,서면개발위원회,041-951-9123
양평메기수염축제,여름 가족 나드리는 가까운 양평메기수염축제로~!,"물 맑은 양평군에서 여름 축제가 개최된다. 장소는 수미마을로 365일축제가 있는 곳으로 2013년 대한민국 농촌마을대상에서 대통령상을 수상하고 각종 매스컴에 100번 이상 소개된 곳이다. 메기를 중심으로 낚시, 맨손 물고기 잡기, 딸기 체험, 액티비티, 만들기 체험까지 즐길 거리가 다채롭다. 양평메기수염 축제는 아이부터 어른까지, 누구나 즐길 수 있다.
[행사내용]
1. 메인프로그램 : 낚시체험, 맨손물고기잡기 체험, 에어바운스 물놀이, 수제 찐빵 체험, 피자 만들기 체험, 사륜ATV, 다육이 만들기 체험, 과일청 만들기
2. 부대프로그램 : 버블 체험장, 피크닉, 캠핑, RC카, 연날리기
3. 먹거리 체험 프로그램: 물고기 튀김, 매운탕, 시골밥상","[행사내용]
1. 메인프로그램 : 낚시체험, 맨손물고기잡기 체험, 에어바운스 물놀이, 수제 찐빵 체험, 피자 만들기 체험, 사륜ATV, 다육이 만들기 체험, 과일청 만들기
2. 부대프로그램 : 버블 체험장, 피크닉, 캠핑, RC카, 연날리기
3. 먹거리 체험 프로그램: 물고기 튀김, 매운탕, 시골밥상",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_a93c2057-4e06-4abb-865c-2604f64b22d6_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_a93c2057-4e06-4abb-865c-2604f64b22d6_4.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_a93c2057-4e06-4abb-865c-2604f64b22d6_5.jpg,2025-05-03,2025-09-07,경기도 양평군 곱다니길 55-2,수미마을,031-775-5205
포천 한탄강 가든페스타,"더 큰 변화의 포천 한탄강, 세계적인 힐링특별시로 도약","264,000㎡에 달하는 공원형 정원 ""한탄강 생태경관단지""에서 힐링과 여유로움을 즐길 수 있는 한탄강 가든페스타에서는 봄 꽃 정원, 전기자전거 체험, 반려견 놀이터, 버스킹 공연 등 다양한 즐길 거리가 마련된다. 특히 국내최장 Y형출렁다리 개통과 함께 경기 북부 대표 명소로 자리매김한 포천 한탄강 가든페스타가 가족, 연인, 친구와 함께 즐길 수 있는 추억을 선사할 예정이다.
[행사내용]
1. 메인프로그램: 홀스타인 품평회(2025.6.7.(토)), 반려동물 훈련 체험프로그램(매주 토), 시니어모델 패션쇼
2. 부대프로그램: 가든 버스킹, 체험프로그램(주말): 페이스페인팅, 캘리그라피 등
3. 먹거리: 농,축산물 판매장, 지역 플리마켓, 먹서리 부스, 푸드트럭

* 요금
유료 (현장 신용카드 결제만 가능, 현금 및 계좌이체 불가)
- 관내 성인, 소인: 0원
- 관외 성인 6,000원/포천사랑상품권 환급 3,000원, 관외 소인: 4,000원
- 감면대상: 경로자, 장애인(중증 1~3급 본인+보호자 1인 면제, 국가유공자(본인+배우자 면제), 국가유족증(본인만 면제), 미취학아동, 기타(3자녀 이상을 둔 세대원, 한부모가족, 기초생활 수급자 등)

전기자전거 탑승 요금
- 일반관람객 완전자동 30,000원 / 반자동 25,000원
- 포천시민 완전자동 20,000원 / 반자동 15,000원

※ 감면 대상 신분증 지참 및 제시 필수","[행사내용]
1. 메인프로그램: 홀스타인 품평회(2025.6.7.(토)), 반려동물 훈련 체험프로그램(매주 토), 시니어모델 패션쇼
2. 부대프로그램: 가든 버스킹, 체험프로그램(주말): 페이스페인팅, 캘리그라피 등
3. 먹거리: 농,축산물 판매장, 지역 플리마켓, 먹서리 부스, 푸드트럭

* 요금
유료 (현장 신용카드 결제만 가능, 현금 및 계좌이체 불가)
- 관내 성인, 소인: 0원
- 관외 성인 6,000원/포천사랑상품권 환급 3,000원, 관외 소인: 4,000원
- 감면대상: 경로자, 장애인(중증 1~3급 본인+보호자 1인 면제, 국가유공자(본인+배우자 면제), 국가유족증(본인만 면제), 미취학아동, 기타(3자녀 이상을 둔 세대원, 한부모가족, 기초생활 수급자 등)

전기자전거 탑승 요금
- 일반관람객 완전자동 30,000원 / 반자동 25,000원
- 포천시민 완전자동 20,000원 / 반자동 15,000원

※ 감면 대상 신분증 지참 및 제시 필수",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/5aa748cc-5523-4fca-bf80-3b331ba22212_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_5aa748cc-5523-4fca-bf80-3b331ba22212_4.JPG,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_5aa748cc-5523-4fca-bf80-3b331ba22212_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_5aa748cc-5523-4fca-bf80-3b331ba22212_6.JPG,2025-05-03,2025-06-15,경기도 포천시 관인면 창동로 832 포천 한탄강 생태경관단지,포천시,031-538-3030
DDP 봄축제 : 디자인 테마파크,환상의 성을 주제로 펼쳐지는 DDP 시민참여 축제,"DDP 봄축제 : 디자인 테마파크는 DDP 사계절 축제 중 5월 가정의 달을 맞아 진행되는 축제이다. 이번 축제는 DDP 실내외 일대에서 ‘환상의 성’을 컨셉을 기반으로 하여 디자인클래스, 디자인마켓, 체험, 시네마와 콘서트 등 일상 속 다양한 디자인&아트 경험이 준비되어 있다. 특히 8M 규모의 해치 애드벌룬이 마칭밴드의 음악에 맞춰 DDP 일대를 행진하는 ‘둥실둥실 퍼레이드’는 가족 단위 방문객뿐만 아니라 서울을 찾은 외국인 관광객들에게도 환상적인 경험으로 기억될 것이다. '캐리TV'등 어린이들이 사랑하는 콘텐츠와 더불어 ‘2025 코리아스타워즈데이’ 및 ‘플레이모빌’, ‘라바’ 등의 콘텐츠 IP와 연계하여 어린이뿐만 아니라 성인들의 취향도 사로잡을 키덜트 프로그램도 준비되어 있으며 ‘KBS’, ‘하트하트 오케스트라’등과의 함께하는 수준 높은 야외 공연도 개최될 예정이다.
[행사내용]
1. DDP 환상의 성 : 환상의 성 테마의 디자인 체험 및 시민 참여 프로그램
2. DDP에 나타난 해치&둥실둥실 퍼레이드 : 대형 해치벌룬 3종 및 해치 애드벌룬과 함께하는 퍼레이드
3. 잔디언덕 콘서트&시네마 : KBS 관현악단, KBS 국악관현악단, 하트하트 오케스트라, 2025 코리아스타워즈데이, 캐리TV 싱어롱 콘서트, 잔디언덕 시네마 (라바)
4. 디자인 클래스 &투어 : 씨앗 페이퍼 워크숍, 오카모카 색종이 놀이, 쿠키 아이싱 드로잉, 패밀리 요가, DDP 어린이 투어, DDP 건축 투어
5. 디자인 놀이터 : 캐리TV, 포디랜드, 목재놀이터 등
6. 협력전시: 공산품미학, DDP 10주년 기념 오픈큐레이팅 아카이브 기획전
7. 부대 프로그램 : 디자인 마켓, 푸드스트리트, 서울패션페스타, 풀무원 지구식단 나눔, 솜사탕&팝콘 나눔, 버블쇼&벌룬쇼, 중부경찰서 미아방지캠페인","[행사내용]
1. DDP 환상의 성 : 환상의 성 테마의 디자인 체험 및 시민 참여 프로그램
2. DDP에 나타난 해치&둥실둥실 퍼레이드 : 대형 해치벌룬 3종 및 해치 애드벌룬과 함께하는 퍼레이드
3. 잔디언덕 콘서트&시네마 : KBS 관현악단, KBS 국악관현악단, 하트하트 오케스트라, 2025 코리아스타워즈데이, 캐리TV 싱어롱 콘서트, 잔디언덕 시네마 (라바)
4. 디자인 클래스 &투어 : 씨앗 페이퍼 워크숍, 오카모카 색종이 놀이, 쿠키 아이싱 드로잉, 패밀리 요가, DDP 어린이 투어, DDP 건축 투어
5. 디자인 놀이터 : 캐리TV, 포디랜드, 목재놀이터 등
6. 협력전시: 공산품미학, DDP 10주년 기념 오픈큐레이팅 아카이브 기획전
7. 부대 프로그램 : 디자인 마켓, 푸드스트리트, 서울패션페스타, 풀무원 지구식단 나눔, 솜사탕&팝콘 나눔, 버블쇼&벌룬쇼, 중부경찰서 미아방지캠페인",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/828ffdcd-c11a-4159-b1fd-7639a5d68383_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_828ffdcd-c11a-4159-b1fd-7639a5d68383_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_828ffdcd-c11a-4159-b1fd-7639a5d68383_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_828ffdcd-c11a-4159-b1fd-7639a5d68383_6.jpg,2025-05-01,2025-05-31,서울특별시 중구 을지로 281,서울디자인재단,02-2088-4957
보롬왓 대파축제,보롬왓 대파축제는 매년 제주에서 열리는 대표적인 참여형 축제,"보롬왓 대파축제는 제주 서귀포시 표선면에 위치한 보롬왓에서 매년 개최되는 행사로, 제주산 대파의 우수성을 알리고 지역 농업을 활성화하기 위해 시작되었다. 방문객들은 대파 수확 체험, 대파 요리 시식, 농산물 직거래 장터 등 다양한 프로그램을 통해 제주 대파의 맛과 가치를 직접 경험할 수 있다. 또한, 지역 예술가들의 공연과 전시도 함께 열려 문화와 농업이 어우러진 축제로 자리매김하고 있다.
[행사내용]
대표 프로그램
- 대파구이 시식, 대파뽑기 체험 등","[행사내용]
대표 프로그램
- 대파구이 시식, 대파뽑기 체험 등",https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/21e8c226-7c43-4295-8811-148a46769c7e_3.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_21e8c226-7c43-4295-8811-148a46769c7e_4.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_21e8c226-7c43-4295-8811-148a46769c7e_5.jpg,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/400_21e8c226-7c43-4295-8811-148a46769c7e_6.jpg,2025-05-01,2025-05-23,제주특별자치도 서귀포시 표선면 번영로 2350-104 보롬왓,농업회사법인 보롬왓 주식회사,010-7362-2345
