축제명,간단한 소개,내용글,상세내용,포스터 이미지,이미지1,이미지2,이미지3,기간,주소,운영기관,연락처
"밀로 떠나는 미식여행, 밀食여행
부산 밀 페스티벌","밀로 떠나는 미식여행, 밀食여행","우리 일상 속에서 흔히 접할 수 있는 '밀'을 주제로 다양한 나라의 식문화와 미식사를 탐험하는 특별한 경험을 제공하기 위해 기획되었다. 한국전쟁 이후 주요 밀 집산지였던 북구의 역사적 배경을 바탕으로 밀과 관련된 다양한 콘텐츠와, 밀로 만나는 밀식여행을 떠나는 시간을 가져볼 수 있다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/3cc10841-de2e-4daf-9e32-a65884791774_3.jpg,,,,,,,
"지구문명에서 우주문명으로
고흥우주항공축제",지구문명에서 우주문명으로,"우주항공중심의 도시 고흥, 지구밖 우주로 가는 유일한 플랫폼 고흥나로우주센터에서 제15회 고흥우주항공축제가 '지구문명에서 우주문명으로' 라는 슬로건으로 개최된다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/d16505e7-45de-414e-829c-22cb3cd52d7c_3.jpg,,,,,,,
"석장리 구석기 세계로!
공주 석장리 구석기축제",석장리 구석기 세계로!,"공주 석장리 구석기축제는 어린이들이 직접 체험하고 즐기며 구석기 시대 생활상의 문화를 자연스럽게 익힐 수 있는 역사문화 축제이다. 행사장 내 시설물은 구석기 시대 삶의 터전인 막집으로 조성하여 최대한 구석기시대를 연상할 수 있도록 연출되며 아이들의 호기심과 창의성을 샘솟게 하는 교육과 놀이가 결합된 다양한 체험이 축제기간 상시 운영된다. 어린이 맞춤형 체험과 더불어 젊은세대를 겨냥한 다양한 포토존은 자연속에서 힐링하며 인생샷을 남길 수 있는 기회이다. 매년 5월 석장리구석기 축제에서는 다양한 체험과 볼거리가 가득한 구석기시대로의 시간여행을 즐길 수 있다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/47d10b41-adad-4c0b-829d-220743002308_3.jpg,,,,,,,
"공주 제민천에 공주(Princess)들이 떴다!
공주 페스티벌",공주 제민천에 공주(Princess)들이 떴다!,"공주 페스티벌은 공주시에서 펼쳐지는 공주(Princess) 컨셉의 야간관광 콘텐츠이다. 제민천 감영길 일대에서 펼쳐지는 공주(Princess)컨셉의 야간 퍼레이드, 야간 플리마켓, 공주들의 이벤트는 계절별 다른 컨셉으로 제민천을 찾아온다. 봄, 여름, 가을, 겨울 사계절을 주제로 펼쳐질 공주들의 페스티벌은 제민천 감영길 일대를 색다르게 물들일 예정이다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/5cb8e065-1618-4576-b91c-a0739772650f_3.png,,,,,,,
"남이섬에서 만나는 동화 같은 특별한 축제
남이섬세계책나라축제",남이섬에서 만나는 동화 같은 특별한 축제,"남이섬은 연간 300만 명이 방문하는 한국의 대표적인 관광지로, 아름다운 자연과 문화예술이 조화를 이루는 장소이다. 아름다운 남이섬에서 책을 중심으로 전시, 공연, 조성, 워크숍이 어우러지는 남이섬세계책나라축제가 개최된다. 이 축제는 가족, 친구들과 함께 즐길 수 있는 문화 교류의 장이며, 방문객들에게 동화 같은 특별한 경험을 제공할 것이다. 2005년 시작해 올해로 12회째를 맞이하는 남이섬세계책나라축제는 지난 9회째부터 주빈국 테마를 적용하여, 2019년 덴마크, 2021년 포르투갈, 2023년 핀란드를 각각 주빈국으로 삼았으며, 2025년 축제의 주빈국은 인도이다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/1d5ad506-cea7-458f-b582-9baf48683356_3.png,,,,,,,
"렛츠런파크 제주에서 가족과 함께 즐기는 5월 몽생이 대모험
몽생이 5월 대모험",렛츠런파크 제주에서 가족과 함께 즐기는 5월 몽생이 대모험,"5월 가정의 달을 맞아 렛츠런파크제주에서 '몽생이 5월 대모험' 축제가 개최된다. 이 축제는 온 가족이 함께 즐길 수 있도록 다양한 프로그램과 체험, 공연, 먹거리 등을 제공한다. 어린이부터 어른까지 모든 연령층이 참여할 수 있는 행사로 구성되어 있다. 축제 기간 동안 가족 단위 방문객을 위한 다채로운 이벤트와 놀이가 마련되어 있다. 몽생이와 함께하는 모험 체험도 포함되어 있어 즐거움과 흥미를 더한다. 이 축제는 가족 간의 유대감을 강화하고 소중한 추억을 만드는 데 목적이 있으며, 렛츠런파크제주에서 진행되는 이 행사는 5월 한 달 동안 운영된다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/0f1298b9-eecc-4532-9ed3-9773dbf4bd99_3.jpg,,,,,,,
"전통 발물레와 망댕이 가마로 생산한 전통자기와 실용적인 생활자기를 어우르는 전통문화축제
문경찻사발축제",전통 발물레와 망댕이 가마로 생산한 전통자기와 실용적인 생활자기를 어우르는 전통문화축제,"문경 전통찻사발과 실용적 생활자기, 그리고 기획다완까지 다양한 도자기 라인업으로 지속가능한 축제를 추구하고, 유명 사극촬영지인 문경새재오픈세트장에서 펼쳐지는 색다른 전시와 체험을 통해 모든 연령대가 즐길 수 있는 흥겨운 축제를 지향하는 축제이다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/79a118fc-7a02-4262-be71-030a1fc3d815_3.jpg,,,,,,,
"자연산 광어와 도미를 맛보고 즐길 수 있는 신명나는 축제
서천 자연산 광어 도미 축제",자연산 광어와 도미를 맛보고 즐길 수 있는 신명나는 축제,"서천에 잡은 싱싱한 자연산 광어와 도미를 맛있게 즐길 수 있는 축제이다. 팔딱팔딱 싱싱한 광어를 직접 잡아보는 체험도 진행된다. 자연산 광어 도미 축제는 마량진항에서 진행된다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/ade61ca7-22c1-41cf-8a18-f5a3c55bcf1a_3.jpg,,,,,,,
"여름 가족 나드리는 가까운 양평메기수염축제로~!
양평메기수염축제",여름 가족 나드리는 가까운 양평메기수염축제로~!,"물 맑은 양평군에서 여름 축제가 개최된다. 장소는 수미마을로 365일축제가 있는 곳으로 2013년 대한민국 농촌마을대상에서 대통령상을 수상하고 각종 매스컴에 100번 이상 소개된 곳이다. 메기를 중심으로 낚시, 맨손 물고기 잡기, 딸기 체험, 액티비티, 만들기 체험까지 즐길 거리가 다채롭다. 양평메기수염 축제는 아이부터 어른까지, 누구나 즐길 수 있다.
더보기",,,,,,,,,
"어린이 선비 납시오~! 오늘은 우리 세상!
어린이선비축제",어린이 선비 납시오~! 오늘은 우리 세상!,"경상북도 영주시 소수서원 옆에 위치한 선비세상 일대에서 준비한 어린이선비축제는 어린이날을 맞이하여 가족·친구가 다 함께 즐길 수 있는 축제가 열릴 예정이다. 선비세상에서는 대형 에어바운스존과 앨리스 인 원더랜드, 그리고 선비문화수련원에서는 어린이들에게 미래에 대한 꿈과 희망을 심어주는 어린이 장원급제, 가족 단위 관람객과 남녀노소, 내·외국인이 함께 즐길 수 있는 다양한 퍼레이드와 이색체험 등 특색 있는 프로그램 운영하며 영주시 지역 특산물을 활용한 다양한 음식과 체험을 제공한다.
더보기",,https://kfescdn.visitkorea.or.kr/kfes/upload/contents/db/06880afa-4708-44d0-aa9d-575d53573227_3.jpg,,,,,,,
